player,position,team,prev_team,event_type,mechanism,adp,new_play_caller,play_caller,new_qb,qb,arrivals,departures,evidence,confidence,notes
Baker Mayfield,QB,TB,TB,context_only,unknown,129.3,1,Zac Robinson,0,Baker Mayfield,,,derived,high,
Mark Andrews,TE,BAL,BAL,room_change,unknown,129.6,1,Declan Doyle,0,Lamar Jackson,,Isaiah Likely,derived,high,
Jauan Jennings,WR,MIN,SF,team_change,unknown,130.5,0,Kevin O'Connell,1,Kyler Murray,,Jalen Nailor,derived,high,
Rashid Shaheed,WR,SEA,SEA,context_only,unknown,130.7,1,Brian Fleury,0,Sam Darnold,,,derived,high,
Jordan Love,QB,GB,GB,room_change,unknown,132.1,0,Matt LaFleur,0,Jordan Love,,Malik Willis,derived,high,
Denzel Boston,WR,CLE,,new_to_league,draft,132.7,1,Todd Monken,1,(unsettled),KC Concepcion,,derived,high,
Omar Cooper Jr.,WR,NYJ,,new_to_league,draft,133.3,1,Frank Reich,1,(unsettled),Adonai Mitchell,,derived,high,
Tre Tucker,WR,LV,LV,room_change,unknown,135.2,1,Klint Kubiak,1,Fernando Mendoza,Jalen Nailor,,derived,high,
Woody Marks,RB,HOU,HOU,room_change,unknown,135.2,0,Nick Caley,0,C.J. Stroud,David Montgomery,Nick Chubb,derived,high,
Jalen Nailor,WR,LV,MIN,team_change,unknown,135.8,1,Klint Kubiak,1,Fernando Mendoza,,,derived,high,
Isaiah Likely,TE,NYG,BAL,team_change,unknown,136.9,1,Matt Nagy,0,Jaxson Dart,,,derived,high,
Jerry Jeudy,WR,CLE,CLE,room_change,unknown,137.7,1,Todd Monken,1,(unsettled),"Denzel Boston, KC Concepcion",,derived,high,
Jalen McMillan,WR,TB,TB,room_change,unknown,142.0,1,Zac Robinson,0,Baker Mayfield,,Mike Evans,derived,high,
Antonio Williams,WR,WAS,,new_to_league,draft,145.9,1,David Blough,1,Jayden Daniels,,Deebo Samuel Sr.,derived,high,
Sam Darnold,QB,SEA,SEA,context_only,unknown,146.1,1,Brian Fleury,0,Sam Darnold,,,derived,high,
C.J. Stroud,QB,HOU,HOU,room_change,unknown,148.7,0,Nick Caley,0,C.J. Stroud,,Davis Mills,derived,high,
Kyler Murray,QB,MIN,ARI,team_change,free_agent,149.0,0,Kevin O'Connell,1,Kyler Murray,,"Carson Wentz, J.J. McCarthy",derived+web,high,"new starting QB for MIN — a situation change for Jefferson/Addison, and the ARI side too [RotoWire/Yahoo]"
Brandon Aiyuk,WR,SF,,new_to_league,draft,149.1,0,Kyle Shanahan,0,Brock Purdy,Mike Evans,Jauan Jennings,derived,high,
Tyler Shough,QB,NO,NO,room_change,unknown,151.7,0,Kellen Moore,0,Tyler Shough,,Spencer Rattler,derived,high,
Tyrone Tracy Jr.,RB,NYG,NYG,room_change,unknown,151.8,1,Matt Nagy,0,Jaxson Dart,,Devin Singletary,derived,high,
Kenyon Sadiq,TE,NYJ,,new_to_league,draft,152.2,1,Frank Reich,1,(unsettled),,,derived,high,
Calvin Ridley,WR,TEN,TEN,room_change,unknown,153.0,1,Brian Daboll,0,Cam Ward,"Carnell Tate, Wan'Dale Robinson",,derived,high,
Chris Rodriguez Jr.,RB,JAX,WAS,team_change,unknown,154.4,0,Liam Coen,0,Trevor Lawrence,,Travis Etienne Jr.,derived,high,
Alvin Kamara,RB,NO,NO,room_change,unknown,155.5,0,Kellen Moore,0,Tyler Shough,Travis Etienne Jr.,,derived,high,
Malik Washington,WR,MIA,MIA,room_change,unknown,155.8,1,Bobby Slowik,1,Malik Willis,Chris Bell,Jaylen Waddle,derived,high,
Zach Charbonnet,RB,SEA,SEA,room_change,unknown,156.0,1,Brian Fleury,0,Sam Darnold,Jadarian Price,Kenneth Walker III,derived,high,
T.J. Hockenson,TE,MIN,MIN,context_only,unknown,156.1,0,Kevin O'Connell,1,Kyler Murray,,,derived,high,
Isiah Pacheco,RB,DET,KC,team_change,free_agent,156.6,1,Drew Petzing,0,Jared Goff,,David Montgomery,derived+web,high,"1yr deal; reported as top BACKUP to Gibbs, not a true committee — sizing the split is the open question [RotoWire]"
Tank Dell,WR,HOU,,new_to_league,draft,158.2,0,Nick Caley,0,C.J. Stroud,,,derived,high,
Chris Bell,WR,MIA,,new_to_league,draft,160.4,1,Bobby Slowik,1,Malik Willis,,Jaylen Waddle,derived,high,
Dylan Sampson,RB,CLE,CLE,context_only,unknown,160.7,1,Todd Monken,1,(unsettled),,,derived,high,
Germie Bernard,WR,PIT,,new_to_league,draft,161.1,1,Mike McCarthy,1,(unsettled),Michael Pittman Jr.,,derived,high,
Oronde Gadsden,TE,LAC,LAC,context_only,unknown,162.4,1,Mike McDaniel,0,Justin Herbert,,,derived,high,
Rashod Bateman,WR,BAL,BAL,context_only,unknown,162.8,1,Declan Doyle,0,Lamar Jackson,,,derived,high,
Tank Bigsby,RB,PHI,PHI,context_only,unknown,163.2,1,Sean Mannion,0,Jalen Hurts,,,derived,high,
Cooper Kupp,WR,SEA,SEA,context_only,unknown,163.4,1,Brian Fleury,0,Sam Darnold,,,derived,high,
Brian Robinson Jr.,RB,ATL,SF,team_change,unknown,163.9,1,Kevin Stefanski,1,(unsettled),,Tyler Allgeier,derived,high,
Malik Willis,QB,MIA,GB,team_change,unknown,164.4,1,Bobby Slowik,1,Malik Willis,,Tua Tagovailoa,derived,high,
Zachariah Branch,WR,ATL,,new_to_league,draft,164.6,1,Kevin Stefanski,1,(unsettled),,,derived,high,
Mike Washington Jr.,RB,LV,,new_to_league,draft,165.2,1,Klint Kubiak,1,Fernando Mendoza,,,derived,high,
Adonai Mitchell,WR,NYJ,IND,team_change,unknown,165.3,1,Frank Reich,1,(unsettled),Omar Cooper Jr.,,derived,high,
Tyler Allgeier,RB,ARI,ATL,team_change,free_agent,167.0,1,Mike LaFleur,1,(unsettled),Jeremiyah Love,"Bam Knight, Michael Carter",derived+web,low,2yr/$12.25M reported [NBC/AOL]; NOT re-confirmed 2026-07-25. Crowded ARI backfield w/ Benson + Conner. VERIFY
Isaac TeSlaa,WR,DET,DET,context_only,unknown,167.3,1,Drew Petzing,0,Jared Goff,,,derived,high,
Cam Ward,QB,TEN,TEN,context_only,unknown,167.7,1,Brian Daboll,0,Cam Ward,,,derived,high,
Chig Okonkwo,TE,WAS,TEN,team_change,unknown,169.4,1,David Blough,1,Jayden Daniels,,,derived,high,
Keaton Mitchell,RB,LAC,BAL,team_change,unknown,170.1,1,Mike McDaniel,0,Justin Herbert,,Kimani Vidal,derived,high,
Jonah Coleman,RB,DEN,,new_to_league,draft,171.1,1,Davis Webb,0,Bo Nix,,,derived,high,
Fernando Mendoza,QB,LV,,new_to_league,draft,172.9,1,Klint Kubiak,1,Fernando Mendoza,,Geno Smith,derived,high,
Darius Slayton,WR,NYG,NYG,room_change,unknown,175.7,1,Matt Nagy,0,Jaxson Dart,,Wan'Dale Robinson,derived,high,
