name,pos,team,adp,mean,q10,q90,upside_before,upside_after,upside_ratio,floor_before,floor_after,floor_ratio,durability_before,durability_after,durability_ratio,tail_risk_before,tail_risk_after,tail_risk_ratio,role_share,role_delta,td_regression
Kenyon Sadiq,TE,NYJ,152.2,90.4272,20.9791,164.0987,-0.1071,-0.2727,1.8147,0.1896,0.3636,0.232,-1.02,-0.4545,10.5327,-0.2967,-0.3636,1.5827,1.0,,
Calvin Ridley,WR,TEN,153.0,108.9819,21.132,203.1959,-0.0189,-0.1094,1.8645,0.111,0.1719,0.1939,-0.806,-0.25,11.1384,-0.1299,-0.2969,1.6706,0.2894,0.1732,-0.0571
Brenton Strange,TE,JAX,153.7,88.764,0.0,177.9515,0.0748,0.4545,2.0048,-0.0334,-0.0455,0.0,-0.2615,-0.1818,11.2518,0.1081,0.4545,2.0048,1.0,0.367,0.0833
Chris Rodriguez Jr.,RB,JAX,154.4,62.6061,0.0,149.2049,0.0788,0.3269,2.3832,0.0247,-0.0769,0.0,-0.5436,-0.2885,10.7357,0.0541,0.3654,2.3832,0.28,-0.0092,0.1533
Alvin Kamara,RB,NO,155.5,61.3291,0.0,148.2493,0.1066,0.4,2.4173,0.0286,-0.08,0.0,-1.7602,-0.36,9.5032,0.078,0.44,2.4173,0.2493,-0.156,-0.1636
Malik Washington,WR,MIA,155.8,96.4734,0.0,183.1173,-0.0341,0.129,1.8981,-0.0426,-0.1935,0.0,2.0432,0.4194,13.8085,0.0085,0.1935,1.8981,0.5195,0.2509,0.0847
Zach Charbonnet,RB,SEA,156.0,86.7081,0.0,187.7681,-0.0211,-0.2292,2.1655,-0.0486,-0.0833,0.0,1.3134,0.1875,12.8918,0.0275,-0.2292,2.1655,0.3931,0.0158,0.3225
T.J. Hockenson,TE,MIN,156.1,92.1367,0.0,178.9564,0.0289,0.05,1.9423,-0.0518,-0.05,0.0,0.8894,-0.05,12.4825,0.0807,0.05,1.9423,1.0,0.3634,0.0453
Isiah Pacheco,RB,DET,156.6,71.3087,0.0,171.2163,0.1392,0.3478,2.4011,-0.0018,-0.087,0.0,-0.2509,-0.2609,11.1364,0.1409,0.3913,2.4011,0.2119,-0.0779,-0.0923
Ryan Flournoy,WR,DAL,156.8,81.3306,0.0,166.0975,0.051,0.35,2.0423,0.0063,-0.2,0.0,1.3037,0.1833,12.8523,0.0447,0.3833,2.0423,0.1718,0.0179,0.1733
Tank Dell,WR,HOU,158.2,106.8428,25.8538,193.0598,-0.0848,-0.3448,1.807,0.166,0.4828,0.242,-0.7754,-0.2586,11.1384,-0.2508,-0.4828,1.565,0.2588,,
Juwan Johnson,TE,NO,159.0,106.4485,0.0,199.4063,0.0302,-0.1111,1.8733,-0.13,-0.0556,0.0,1.4018,0.3333,13.3333,0.1602,-0.1111,1.8733,1.0,0.2989,0.0824
Daniel Jones,QB,IND,159.8,182.1477,48.6211,304.3066,-0.0968,0.0909,1.6707,0.045,0.0,0.2669,0.9472,-0.0909,12.238,-0.1417,0.0909,1.4037,1.0,0.2226,0.2369
Travis Hunter,WR,JAX,160.3,94.5228,21.9378,177.9378,-0.0573,-0.0179,1.8825,0.1958,0.4107,0.2321,-0.599,-0.25,11.1384,-0.2531,-0.3036,1.6504,0.1977,0.0984,-0.0171
Chris Bell,WR,MIA,160.4,89.2222,18.6172,169.2215,-0.0638,0.037,1.8966,0.1895,0.2222,0.2087,-0.5231,-0.2407,11.1384,-0.2533,-0.1852,1.688,0.4805,,
Dylan Sampson,RB,CLE,160.7,79.7752,0.0,178.308,0.0146,-0.0227,2.2351,-0.0275,-0.0909,0.0,1.2728,0.0682,12.7652,0.0421,-0.0227,2.2351,0.3367,0.0772,-0.0027
Germie Bernard,WR,PIT,161.1,96.2139,19.979,181.7389,-0.0443,-0.0192,1.8889,0.1659,0.2115,0.2077,-0.6232,-0.25,11.1384,-0.2102,-0.25,1.6813,0.2569,,
Bryce Young,QB,CAR,161.8,202.0552,62.0412,324.0536,-0.0553,-0.25,1.6038,0.0099,0.35,0.3071,1.6302,0.25,13.936,-0.0652,-0.25,1.2967,1.0,0.0383,0.0425
Oronde Gadsden,TE,LAC,162.4,88.6481,0.0,172.3944,0.0141,0.3125,1.9447,-0.0327,-0.0625,0.0,1.5323,-0.0625,13.043,0.0469,0.3125,1.9447,1.0,0.2512,0.0
Rashod Bateman,WR,BAL,162.8,93.6775,0.0,188.1043,0.0649,0.32,2.008,-0.0335,-0.22,0.0,0.1314,0.0,11.8567,0.0984,0.36,2.008,0.3202,0.1876,0.0154
Tank Bigsby,RB,PHI,163.2,61.5866,0.0,144.6097,0.0386,0.1905,2.3481,0.0278,-0.0952,0.0,1.2065,0.0,12.4732,0.0108,0.1905,2.3481,0.2445,0.0809,-0.024
Cooper Kupp,WR,SEA,163.4,96.7126,0.0,184.9812,-0.0186,0.2292,1.9127,-0.0433,-0.2292,0.0,0.9611,0.1458,12.7298,0.0248,0.2708,1.9127,0.2052,-0.002,-0.0375
Brian Robinson Jr.,RB,ATL,163.9,76.5814,0.0,167.6555,-0.0469,-0.225,2.1892,-0.0178,-0.1,0.0,1.7309,0.275,13.1837,-0.0291,-0.225,2.1892,0.2242,0.1024,-0.0212
Malik Willis,QB,MIA,164.4,126.5789,0.0,271.8399,0.0779,0.3333,2.1476,-0.0121,-0.3333,0.0,-0.8068,-0.3333,7.6508,0.0899,0.3333,2.1476,1.0,0.8392,0.35
Zachariah Branch,WR,ATL,164.6,62.6254,11.0884,134.5209,0.0839,0.4783,2.148,0.2437,0.087,0.1771,-0.1424,-0.2826,11.1384,-0.1598,0.3043,1.971,0.2486,,
Mike Washington Jr.,RB,LV,165.2,82.1288,18.0329,158.6855,-0.2769,-0.4211,1.9322,0.1849,0.4737,0.2196,-0.1655,-0.1842,11.3561,-0.4618,-0.4211,1.7126,0.2796,,
Adonai Mitchell,WR,NYJ,165.3,97.0007,0.0,184.0953,-0.0323,0.0227,1.8979,-0.0443,-0.2273,0.0,1.7756,0.25,13.5485,0.012,0.1136,1.8979,0.2772,0.1102,0.025
Tyler Allgeier,RB,ARI,167.0,75.9272,0.0,171.9231,0.025,0.0278,2.2643,-0.0158,-0.1111,0.0,1.8319,0.4722,13.2765,0.0408,0.0278,2.2643,0.3169,0.0698,0.2329
Isaac TeSlaa,WR,DET,167.3,74.8631,0.0,154.2669,0.0442,0.381,2.0607,0.0272,-0.2381,0.0,1.138,0.0952,12.594,0.017,0.4286,2.0607,0.1499,0.0405,0.2714
Cam Ward,QB,TEN,167.7,202.1287,57.7207,328.2569,-0.0347,-0.1875,1.624,-0.0119,0.3125,0.2856,2.0395,0.4375,14.3491,-0.0228,-0.1875,1.3384,1.0,0.0047,0.0471
Chig Okonkwo,TE,WAS,169.4,94.882,0.0,183.3735,0.0327,0.0,1.9326,-0.0668,-0.0714,0.0,1.9231,0.4286,13.5811,0.0995,0.0,1.9326,1.0,0.4578,0.0588
Keaton Mitchell,RB,LAC,170.1,56.2928,0.0,133.681,0.0394,0.1765,2.3747,0.0439,-0.1176,0.0,0.2575,0.0,11.4585,-0.0045,0.1765,2.3747,0.2869,0.1564,-0.0523
Jonah Coleman,RB,DEN,171.1,35.2401,1.2988,88.8577,0.0833,0.4688,2.5215,0.1447,0.3438,0.0369,-3.8364,-0.4375,7.1033,-0.0615,0.4688,2.4846,0.1541,,
Dalton Schultz,TE,HOU,171.8,103.6545,0.0,193.5024,0.01,-0.4167,1.8668,-0.1147,0.0,0.0,1.4534,0.0833,13.3188,0.1247,-0.4167,1.8668,1.0,0.1659,0.0353
Fernando Mendoza,QB,LV,172.9,106.2869,0.0,241.2488,0.0897,0.4286,2.2698,0.0646,-0.2857,0.0,0.2278,-0.2857,7.6508,0.0251,0.4286,2.2698,1.0,,
Ray Davis,RB,BUF,173.3,54.7671,0.0,126.2289,-0.0379,0.0,2.3048,0.0485,-0.1,0.0,2.0573,0.4,13.2394,-0.0865,0.0,2.3048,0.2123,0.072,0.0094
Darius Slayton,WR,NYG,175.7,81.7171,0.0,169.1458,0.0802,0.425,2.0699,0.0051,-0.25,0.0,0.5307,0.075,12.0848,0.0751,0.475,2.0699,0.3517,0.1375,-0.0429
